Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
TSD-BB44,Atlas IED,DSP,"BlueBridge 4 Input x 4 Output - Networkable DSP Device.                           
Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine
External Power Supply (Included)",3227.91,"5,303.00"
WPD-RP,Atlas IED,DSP,Rack Mount Kit for Up to Five Wall Atmosphere Controllers,152.17,250
WPD-RP-HR,Atlas IED,DSP,Rack Mount Kit for Up to Three Atmosphere Wall Controllers,112,184
WPD-VC10K,Atlas IED,Amplifier - Install,Atlas IED Wall Plate 10kO Level Control,89.48,147
WPD-VC10K,Atlas IED,Amplifier - Install,Atlas IED Wall Plate 10kO Level Control,89.48,147
WPD-VC10K,Atlas IED,Amplifier - Install,Atlas IED Wall Plate 10kO Level Control,89.48,147
X-ANS-US,Atlas IED,DSP,"The Atmosphere X-ANS is an ambient noise sensor specifically for use with the Ambient Noise Compensation (ANC) functionality in the Atmosphere AZM. Ambient noise compensation allows for automatic adjustment of volume within a given zone based on how loud the environment is.  We've meticulously developed technology to better solve the installer/user experience by creating advanced DSP algorithms. Our patent-pending data collection technique pairs nicely with our patent-pending automatic ANC by learning from user adjustments at specific noise levels and enables the Atmosphere system to adapt a unique curve for each space. This learning algorithm results in environmental configurations that are worry-free.  The AZM can accept up to four X-ANS sensor per zone. And for those installations where privacy is of paramount importance, the X-ANS only sends sensor data back, not audio.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port.",345.74,568
X-ANS-US-B,Atlas IED,DSP,"The Atmosphere X-ANS-B is an ambient noise sensor specifically for use with the Ambient Noise Compensation (ANC) functionality in the Atmosphere AZM. Ambient noise compensation allows for automatic adjustment of volume within a given zone based on how loud the environment is.  We've meticulously developed technology to better solve the installer/user experience by creating advanced DSP algorithms. Our patent-pending data collection technique pairs nicely with our patent-pending automatic ANC by learning from user adjustments at specific noise levels and enables the Atmosphere system to adapt a unique curve for each space. This learning algorithm results in environmental configurations that are worry-free.  The AZM can accept up to four X-ANS sensor per zone. And for those installations where privacy is of paramount importance, the X-ANS only sends sensor data back, not audio.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port.",345.74,568
X-ZPS,Atlas IED,DSP,"The Atmosphere X-ZPS is a paging station with a 4.3"" touchscreen for the Atmosphere AZM and AZMP audio processors.  It comes equipped with a high-quality gooseneck microphone and provides zone paging, all call, and custom group paging to an Atmosphere AZM or AZMP audio processor.  The X-ZPS also serves as a system controller for volume, source selection, message recall, and more.  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",1367.13,"2,246.00"
24/120,Cloud,Mixer Amplifier,"Cloud 2 Zone Mixer Amp. 2 x 120 Watt RMS output @ 4?-8?-70V-100V Digital amplifier. Up to four music sources, independent source and level control of music in each zone with microphone mixing as required, with full paging facilities. Each zone includes a mono power amplifier and the unit occupies only 1U of rack height.",2045.83,"3,361.00"
24/240,Cloud,Mixer Amplifier,"Cloud 2 Zone Mixer Amp. 2 x 240 Watt RMS output @ 4?-8?-70V-100V Digital amplifier. Up to four music sources, independent source and level control of music in each zone with microphone mixing as required, with full paging facilities. Each zone includes a mono power amplifier and the unit occupies only 1U of rack height.",2376.35,"3,904.00"
46/120Mk2,Cloud,Mixer Amplifier,"Cloud Four zone integrated mixer amplifier, 6 music inputs, 2 mic inputs, 2 x Facility Ports (assignable). 4 x 120 watt amplifier @ 4?-8?-70V-100V with power sharing. 2RU",3804.96,"6,251.00"
46/240,Cloud,Mixer Amplifier,"Cloud Four zone integrated mixer amplifier, 6 music inputs, 2 mic inputs, 2 x Facility Ports (assignable). 4 x 240 watt amplifier @ 4?-8?-70V-100V. 2RU",4518.35,"7,423.00"
BE-1A-B,Cloud,Cloud Facility Port Device,"Active input plate with two (L&R) balanced female XLR inputs, black, uses shielded CAT5 and shielded RJ45 connectors",254.43,418
BE-1A-W,Cloud,Cloud Facility Port Device,"Active input plate with two (L&R) balanced female XLR inputs, white, uses shielded CAT5 and shielded RJ45 connectors",254.43,418
BT-2E-A-B,Cloud,Cloud Facility Port Device,"Cloud BT-2 Bluetooth Receiver. Version 2. Remote Bluetooth Input Module, Plate naming convention, Host units with Facility Port option, RF power level adjustment, Daisy-chain option. Suits DCM1E only. BLACK",576.43,947
BT-2E-A-W,Cloud,Cloud Facility Port Device,"Cloud BT-2 Bluetooth Receiver. Version 2. Remote Bluetooth Input Module, Plate naming convention, Host units with Facility Port option, RF power level adjustment, Daisy-chain option. Suits DCM1E only. WHITE",576.43,947
BT-2F-A-B,Cloud,Cloud Facility Port Device,"Cloud BT-2 Bluetooth Receiver. Version 2. Remote Bluetooth Input Module, Plate naming convention, Host units with Facility Port option, RF power level adjustment, Daisy-chain option. BLACK",576.43,947
BT-2F-A-W,Cloud,Cloud Facility Port Device,"Cloud BT-2 Bluetooth Receiver. Version 2. Remote Bluetooth Input Module, Plate naming convention, Host units with Facility Port option, RF power level adjustment, Daisy-chain option. WHITE",576.43,947
CA2250EK,Cloud,Amplifier - Install,"2 x 250W @ 4/8 & 100/70.7V (0.019%THD+N @1 kHz) utilizing transformer-less topology. Vari-speed fan, clip, signal present and protect LEDs provide longevity. Power sharing technology incorporated & low power consumption technology featured. DANTE card option available.",2074.43,"3,408.00"
CA2500EK,Cloud,Amplifier - Install,"2 x 500W @ 4/8 & 100/70.7V (0.019%THD+N @1 kHz) utilizing transformer-less topology. Vari-speed fan, clip, signal present and protect LEDs provide longevity. Power sharing technology incorporated & low power consumption technology featured. DANTE card option available.",2650.87,"4,355.00"
CA4250EK,Cloud,Amplifier - Install,"4 x 250W @ 4/8 & 100/70.7V (0.019%THD+N @1 kHz) utilizing transformer-less topology. Vari-speed fan, clip, signal present and protect LEDs provide longevity. Power sharing technology incorporated & low power consumption technology featured. DANTE card option available.",3341.13,"5,489.00"
CA6160EK,Cloud,Amplifier - Install,"6 x 160W @ 4/8 & 100/70.7V (0.019%THD+N @1 kHz) utilizing transformer-less topology. Vari-speed fan, clip, signal present and protect LEDs provide longevity. Power sharing technology incorporated & low power consumption technology featured. DANTE card option available.",4032.61,"6,625.00"
CA8125EK,Cloud,Amplifier - Install,"8 x 125W @ 4/8 & 100/70.7V (0.019%THD+N @1 kHz) utilizing transformer-less topology. Vari-speed fan, clip, signal present and protect LEDs provide longevity. Power sharing technology incorporated & low power consumption technology featured. DANTE card option available.",4609.04,"7,572.00"
CDI-CA2,Cloud,Amplifier - Install,DANTE option card for CA2250 & CA2500,749.3,"1,231.00"
CDI-CA4,Cloud,Amplifier - Install,DANTE option card for CA4250,887.48,"1,458.00"
CDI-CA8,Cloud,Amplifier - Install,DANTE option card for CA6160 & CA8125,1440.78,"2,367.00"
CDI-CV2,Cloud,Amplifier - Install,Cloud DANTE option card for CV2500 & CVA2500,807.74,"1,327.00"
CDI-CV4,Cloud,Amplifier - Install,Cloud DANTE option card for  CV4250 & CVA4250,911.22,"1,497.00"
CDI-CV8,Cloud,Amplifier - Install,Cloud DANTE option card for  CV8125 & CVA8125,1440.78,"2,367.00"
CDIS100,Cloud,,"Serial interface module, RS232 control for music source, music & mic levels & mic muting for the CX462",150.35,247
CDIS200,Cloud,,"Serial interface module, RS232 control for music source, music & mic levels & muting for the CX263",185.65,305
CDR1-B,Cloud,Cloud Facility Port Device,"Wall surface mount Remote control module for music source, level and grouping (user mode), black, uses shielded CAT5 and shielded RJ45 connectors",312.87,514
CDR1F-B,Cloud,Cloud Facility Port Device,"Wall flush mount Remote control module for music source, level and grouping (user mode) - BLACK, uses shielded CAT5 and shielded RJ45 connectors",312.87,514
CDR1F-S,Cloud,Cloud Facility Port Device,"AOR Wall flush mount Remote control module for music source, level and grouping (user mode) - SILVER, uses shielded CAT5 and shielded RJ45 connectors",312.87,514
CDR1F-W,Cloud,Cloud Facility Port Device,"Wall flush mount Remote control module for music source, level and grouping (user mode) - WHITE, uses shielded CAT5 and shielded RJ45 connectors",312.87,514
CDR1-W,Cloud,Cloud Facility Port Device,"Wall surface mount Remote control module for music source, level and grouping (user mode), white, uses shielded CAT5 and shielded RJ45 connectors",312.87,514
CVA2500,Cloud,Amplifier - Install,"2 x 500W @ 100/70V & 4? / 8? / 16? low-impedance. Digital Amplifier with DSP On Board. Ethernet Browser Stack for GUI and Control + RS232, 2 x AUX Output Channels. GPIO & Remote Standby. Optional VCA Remotes using RL-1. Optional DANTE module available ",3802.52,"6,247.00"
CVA4250,Cloud,Amplifier - Install,"4 x 250W @ 100/70V & 4? / 8? / 16? low-impedance, Power sharing features (100V/70V only). Digital Amplifier with DSP On Board. Ethernet Browser Stack for GUI and Control + RS232, 2 x AUX Output Channels. GPIO & Remote Standby. Optional VCA Remotes using RL-1. Optional DANTE module available ",4493.39,"7,382.00"
CVA8125,Cloud,Amplifier - Install,"8 x 125W @ 100/70V & 4? / 8? / 16? low-impedance, Power sharing features (100V/70V only). Digital Amplifier with DSP On Board. Ethernet Browser Stack for GUI and Control + RS232, 2 x AUX Output Channels. GPIO & Remote Standby. Optional VCA Remotes using RL-1. Optional DANTE module available ",5530.61,"9,086.00"
CX163,Cloud,Mixer - Zone Mixer,"Two zone stereo mixer, 6 Stereo line inputs, 1 mic inputs, 2 stereo output zones plus mono utility output",980,"1,610.00"
CX261,Cloud,Mixer - Strip Mixer,"Single zone mixer, 5+USB Stereo line inputs, 2 mic inputs, 1 stereo output. MOH",980,"1,610.00"
CX263,Cloud,Mixer - Zone Mixer,"Three zone mixer, 6 Stereo line inputs, 2 mic inputs, 3 output zones",1279.48,"2,102.00"
CX462,Cloud,Mixer - Strip Mixer,"Audio System Controller. 6 x stereo inputs, 1 x stereo output, 4 x mic inputs, 1 x mono mic output",1314.17,"2,159.00"
CXL50T,Cloud,,50 Watt 100V/70V Toroidal line transformer for MA60MEDIA & MA60 (internal fitting),108.96,179
DCM1E,Cloud,Mixer - Zone Mixer,"Digital 8 Music inputs 4 mic inputs + paging mic, 8 x facility inputs, 8 balanced output zones (2 stereo, 6 mono). With an Ethernet port and web control interface fitted to the new DCM-1e this allows On/Off-Site Management and configuration by Mobile Device, Touch-Screen, PC or 3rd Party Control Interface Solutions",3380.7,"5,554.00"
DLM-1BNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. BLACK,830.26,"1,364.00"
DLM-1BNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. BLACK,830.26,"1,364.00"
DLM-1BNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. BLACK,830.26,"1,364.00"
DLM-1BNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. BLACK,830.26,"1,364.00"
DLM-1BNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. BLACK,830.26,"1,364.00"
DLM-1WNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. WHITE,830.26,"1,364.00"
DLM-1WNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. WHITE,830.26,"1,364.00"
DLM-1WNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. WHITE,830.26,"1,364.00"
DLM-1WNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. WHITE,830.26,"1,364.00"
DLM-1WNA,Cloud,Cloud Facility Port Device,Cloud DANTE Line/Mic Active Input Plate US style single gang plate. WHITE,830.26,"1,364.00"
FPA-1,Cloud,Cloud Facility Port Device,Facility port adapter - enables the Cloud remote wall controls / input plates to be connected to any amp without the Cloud facility port connection built in.,182.61,300
FPA-1,Cloud,Cloud Facility Port Device,Facility port adapter - enables the Cloud remote wall controls / input plates to be connected to any amp without the Cloud facility port connection built in.,182.61,300
FPA-1,Cloud,Cloud Facility Port Device,Facility port adapter - enables the Cloud remote wall controls / input plates to be connected to any amp without the Cloud facility port connection built in.,182.61,300
L-1DB,Cloud,Cloud Facility Port Device,"Cloud remote input plate with RCA connections,3.5mm connection and input level control. Compatible with Cloud Z-Series (MK2, MK3, MK4), 46-120-Series, 46-50, 46-80, MPA120MK2, MPA240MK2 & select MA40/MA80 Mini Amps. Can be used as standalone device with a FPA-1. US single gang plate. White",150.35,247
L-1DB,Cloud,Cloud Facility Port Device,"Cloud remote input plate with RCA connections,3.5mm connection and input level control. Compatible with Cloud Z-Series (MK2, MK3, MK4), 46-120-Series, 46-50, 46-80, MPA120MK2, MPA240MK2 & select MA40/MA80 Mini Amps. Can be used as standalone device with a FPA-1. US single gang plate. White",150.35,247
L-1DB,Cloud,Cloud Facility Port Device,"Cloud remote input plate with RCA connections,3.5mm connection and input level control. Compatible with Cloud Z-Series (MK2, MK3, MK4), 46-120-Series, 46-50, 46-80, MPA120MK2, MPA240MK2 & select MA40/MA80 Mini Amps. Can be used as standalone device with a FPA-1. US single gang plate. Black",150.35,247
L-1DB,Cloud,Cloud Facility Port Device,"Cloud remote input plate with RCA connections,3.5mm connection and input level control. Compatible with Cloud Z-Series (MK2, MK3, MK4), 46-120-Series, 46-50, 46-80, MPA120MK2, MPA240MK2 & select MA40/MA80 Mini Amps. Can be used as standalone device with a FPA-1. US single gang plate. Black",150.35,247
